date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:15	44395/44395	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:20%20GMT	https://colorlib.com//polygon/admindek/default/navbar-light.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/navbar-light.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:15	61618/61618	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:28%20GMT	https://colorlib.com//polygon/admindek/default/widget-statistic.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/widget-statistic.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:16	80698/80698	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:28%20GMT	https://colorlib.com//polygon/admindek/default/widget-data.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/widget-data.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:16	52737/52737	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:27%20GMT	https://colorlib.com//polygon/admindek/default/widget-chart.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/widget-chart.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:16	48292/48292	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:37%20GMT	https://colorlib.com//polygon/admindek/default/alert.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/alert.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:17	45278/45278	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:40%20GMT	https://colorlib.com//polygon/admindek/default/breadcrumb.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/breadcrumb.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:17	96301/96301	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:42%20GMT	https://colorlib.com//polygon/admindek/default/button.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/button.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:17	50473/50473	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:40%20GMT	https://colorlib.com//polygon/admindek/default/box-shadow.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/box-shadow.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:18	49578/49578	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:38%20GMT	https://colorlib.com//polygon/admindek/default/accordion.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/accordion.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:18	62787/62787	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:10%20GMT	https://colorlib.com//polygon/admindek/default/generic-class.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/generic-class.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:18	58188/58188	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:25%20GMT	https://colorlib.com//polygon/admindek/default/tabs.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/tabs.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:19	51529/51529	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:47%20GMT	https://colorlib.com//polygon/admindek/default/color.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/color.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:19	51611/51611	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:15%20GMT	https://colorlib.com//polygon/admindek/default/label-badge.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/label-badge.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:19	47281/47281	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:22%20GMT	https://colorlib.com//polygon/admindek/default/progress-bar.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/progress-bar.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:20	54699/54699	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:15%20GMT	https://colorlib.com//polygon/admindek/default/list.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/list.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:20	53243/53243	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:26%20GMT	https://colorlib.com//polygon/admindek/default/tooltip.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/tooltip.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:21	49516/49516	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:27%20GMT	https://colorlib.com//polygon/admindek/default/typography.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/typography.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:21	48461/48461	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:22%20GMT	https://colorlib.com//polygon/admindek/default/other.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/other.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:21	46584/46584	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:49%20GMT	https://colorlib.com//polygon/admindek/default/draggable.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/draggable.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:21	72013/72013	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:20%20GMT	https://colorlib.com//polygon/admindek/default/modal.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/modal.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:22	46023/46023	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:21%20GMT	https://colorlib.com//polygon/admindek/default/notification.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/notification.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:22	47025/47025	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:23%20GMT	https://colorlib.com//polygon/admindek/default/rating.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/rating.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:22	47665/47665	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:23%20GMT	https://colorlib.com//polygon/admindek/default/range-slider.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/range-slider.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:23	44952/44952	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:24%20GMT	https://colorlib.com//polygon/admindek/default/slider.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/slider.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:23	53072/53072	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:25%20GMT	https://colorlib.com//polygon/admindek/default/syntax-highlighter.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/syntax-highlighter.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:23	46848/46848	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:26%20GMT	https://colorlib.com//polygon/admindek/default/tour.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/tour.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:24	44339/44339	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:27%20GMT	https://colorlib.com//polygon/admindek/default/treeview.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/treeview.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:24	44258/44258	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:21%20GMT	https://colorlib.com//polygon/admindek/default/nestable.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/nestable.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:24	46487/46487	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:26%20GMT	https://colorlib.com//polygon/admindek/default/toolbar.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/toolbar.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:25	40882/40882	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:24%20GMT	https://colorlib.com//polygon/admindek/default/session-timeout.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/session-timeout.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:25	41039/41039	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:24%20GMT	https://colorlib.com//polygon/admindek/default/session-idle-timeout.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/session-idle-timeout.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:25	42374/42374	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:22%20GMT	https://colorlib.com//polygon/admindek/default/offline.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/offline.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:26	47653/47653	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:38%20GMT	https://colorlib.com//polygon/admindek/default/animation.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/animation.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:26	124746/124746	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:13%20GMT	https://colorlib.com//polygon/admindek/default/icon-font-awesome.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/icon-font-awesome.html	(from https://colorlib.com//polygon/admindek/default/index.html)
18:56:27	83499/83499	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:14%20GMT	https://colorlib.com//polygon/admindek/default/icon-themify.html	C:/Users/vaawe/Desktop/Dashboard/colorlib.com/polygon/admindek/default/icon-themify.html	(from https://colorlib.com//polygon/admindek/default/index.html)
